name	meaning
Zerubbabel	a stranger at Babylon; dispersion of confusion
Michtam	golden psalm
Gera	pilgrimage, combat; dispute
Pallu	marvelous; hidden
Jetheth	giving
John	the grace or mercy of the Lord
Joha	who enlivens or gives life
Agee	a valley; deepness
Pethuel	mouth of God; persuasion of God
Jokim	that made the sun stand still
Tel-melah	heap of salt
Zaretan	tribulation; perplexity
Leah	weary; tired
Ishua	plainness; equal
Calah	favorable; opportunity
Cisleu	rashness; confidence
Haran	mountainous country
Ahimelech	my brother is a king; my king's brother
Herodion	the song of Juno
Eltolad	the generation of God
Aran	an ark; their curse
Aram	highness, magnificence, one that deceives; curse
Arab	multiplying; sowing sedition; a window; a locust
Shoham	keeping back
Peruda	same as Perida
Arad	a wild ass; a dragon
Thomas	a twin
Mehetabel	how good is God
Bechorath	first fruits
Beri	my son; my corn
No	stirring up; forbidding
Bera	a well; declaring
Ephesus	desirable
Laban	white; shining; gentle; brittle
Nagge	clearness; brightness; light
Mebunnai	son; building; understanding
Birsha	an evil; a son who beholds
Abel	a city; mourning
Adramyttium	the court of death
Romamti-ezer	exaltation of help
Jahzeel	God hasteth, or divideth
Kirjath-sepher	city of letters, or of the book
Igal	redeemed; defiled
Nymphas	spouse; bridegroom
Bedeiah	the only Lord
Adoni-zedek	justice of the Lord; lord of justice
Alemeth	hiding; youth; worlds; upon the dead
Felix	happy, prosperous
Cherethims	who cut or tear away
Sarsechim	master of the wardrobe
Jehoiachin	preparation, or strength, of the Lord
Tilon	murmuring
Sheshbazzar	joy in tribulation; joy of the vintage
Nebuchadnezzar	tears and groans of judgment
Jehezekel	strength of God
Uriel	same as Uriah
Zerah	same as Zarah
Jadau	his hand; his confession
Reba	the fourth; a square; that lies or stoops down
Beth-zur	house of a rock
Iscah	he that anoints
Aven	iniquity; force; riches; sorrow
Athlai	my hour or time
Hizkijah	the strength of the Lord
Jesimiel	naming, or astonishment, of God
Lahad	praising; to confess
Libnah	white; whiteness
Rechab	square; chariot with team of four horses
Joanna	grace or gift of the Lord
Adoniram	my Lord is most high; Lord of might and elevation
Paarai	opening
Achzib	liar; lying; one that runs
Eliasaph	the Lord increaseth
Nahbi	very secret
Jabneel	building of God
Neziah	conqueror; strong
Abidah	father of knowledge
Abidan	father of judgment
Lysimachus	scattering the battle
Jimnah	right hand; numbering; preparing
Pirathon	his dissipation or deprivation; his rupture
Jethro	his excellence; his posterity
Nason	helper; entry-way
Araunah	ark; song; joyful cry
Benhail	son of strength
Shoa	kings; tyrants
Horonaim	angers; ragings
Pisidia	pitch; pitchy
Meshech	who is drawn by force
Necho	lame; beaten
Beth-car	the house of the lamb
Nethinims	given or offered
Tikvah	hope; a little line; congregation
Olympas	heavenly
Beer	a well
Bukkiah	the dissipation of the Lord
Bileam	the ancient of the people; the devourer
Agur	stranger; gathered together
Saul	asked; lent; a grave
Michmach	he that strikes
Tahrea	anger; wicked contention
Gog	roof; covering
Tekoa	trumpet; that is confirmed
Gob	cistern; grasshopper
Talmai	my furrow; that suspends the waters; heap of waters
Mizpah	a watch-tower; speculation
Arah	the way; a traveler
Jehoiakim	avenging, or establishing, or resurrection, of the Lord
Hananiah	grace; mercy; gift of the Lord
Tetrarch	governor of a fourth part
Joed	witnessing; robbing; passing over
Jehoiada	knowledge of the Lord
Shebam	compassing about; old men
Cherith	cutting; piercing; slaying
Joel	he that wills or commands
Palal	thinking
Colosse	punishment; correction
Zaavan	trembling
Izri	fasting; tribulation
Mareshah	from the beginning; an inheritance
Shimei	that hears or obeys; my reputation; my fame
So	a measure for grain; vail
Homam	making an uproar
Nahum	comforter; penitent
Japhlet	delivered; banished
Pelaliah	entreating the Lord
Harsha	workmanship; a wood
Tohu	that lives; that declares
Amnon	faithful and true; tutor
Nebo	that speaks or prophesies
Dodavah	love
Shedeur	field of light; light of the Almighty
Melatiah	deliverance of the Lord
Jothath	his goodness
Nimrim	leopard; bitterness; rebellion
Lois	better
Carpus	fruit; fruitful
Addon	basis; foundation; the Lord
Metheg-ammah	bridle of bondage
Beth-barah	the chosen house
Calno	our consummation; altogether himself
Gammadims	dwarfs
Shaalbonite	a fox's building
Dimon	where it is red
Malcham	their king; their counselor
Geuel	God's redemption
Henadad	grace of the beloved
Elisheba	same as Elisabeth
Boaz	or Booz, in strength
Adadah	testimony of the assembly
Mattaniah	gift, or hope, of the Lord
Adaiah	the witness of the Lord
Naarai	young person
Abiezer	father of help
Uthai	my iniquity
Sebat	twig; scepter; tribe
Rachab	same as Rahab
Asnapper	unhappiness; increase of danger
Jeshishai	ancient; rejoicing exceedingly
Rachal	to whisper; an embalmer
Cuthah	burning
Malchiel	God is my king, or counselor
Maharai	hasting; a hill; from a hill
Chiliab	totality; or the perfection of the father
Pedaiah	redemption of the Lord
Artaxerxes	the silence of light; fervent to spoil
Jozachar	remembering; of the male sex
Ikkesh	forward; wicked
Rithmah	juniper; noise
Sered	dyer's vat
Heresh	a carpenter
Esaias	same as Isaiah
Baanah	in the answer; in affliction
Azekah	strength of walls
Zebadiah	portion of the Lord; the Lord is my portion
Tirshatha	a governor
Philemon	who kisses
Matthew	given; a reward
Zaanannim	movings; a person asleep
Horonites	men of anger, or of fury, or of liberty
Bartimeus	son of the honorable
Helam	their army; their trouble
Baal-hermon	possessor of destruction or of a thing cursed
Sitnah	hatred
Cesar	a name applied to those who are cut out of the womb
Ahuzzah	possession; seizing; collecting
Allon	an oak; strong
Rinnah	song; rejoicing
Nisroch	flight; proof; temptation; delicate
Nain	beauty; pleasantness
Hinnom	there they are; their riches
Samothracia	an island possessed by the Samians and Thracians
Nobah	that barks or yelps
Shulamite	peaceable; perfect; that recompenses
Dathan	laws or rites
Assir	prisoner; fettered
Holon	a window; grief
Asenath	peril; misfortune
Leshem	a name; putting; a precious stone
Arba	four
Lekah	walking; going
Raguel	shepherd, or friend of God
Sarepta	a goldsmith's shop
Bidkar	in compunction, or sharp pain
Cilicia	which rolls or overturns
Zedad	his side; his hunting
Micaiah	who is like to God?
Aiah	vulture, raven; an isle; alas, where is it?
Obed	a servant; workman
Harosheth	a forest; agriculture; workmanship; deafness; silence
Tobijah	the Lord is good
Euodias	sweet scent
Beneberak	sons of lightning
Ashriel	same as Asareel
Ir	watchman; city; vision
Pisgah	hill; eminence; fortress
Regem	that stones or is stoned; purple
Hoshama	heard; he obeys
Tebah	murder; butchery; guarding of the body; a cook
Nachon	ready; sure
Deborah	word; thing; a bee
Pi-hahiroth	the mouth; the pass of Hiroth
Nachor	same as Nahor
Kittim	breaking; bruising small; gold; coloring
Telabib	a heap of new grain
Molid	nativity; generation
Potipherah	that scatters abroad, or demolishes, the fat
Benoni	son of my sorrow, or pain
Zalmunna	shadow; image; idol forbidden
Juttah	turning away
Ahlab	made of milk, or of fat; brother of the heart
Hadid	rejoicing; sharp
Omega	the last letter of the Greek alphabet; long O
Lucius	luminous; white
Zohar	white; bright; dryness
Harum	high; throwing down
Sinon	a breast-plate; deliverance
Mash	same as Meshech
Lucifer	bringing light
Zabdi	same as Zabad
Azubah	forsaken
Haruz	careful
Benimi	our sons
Zerahiah	the Lord rising; brightness of the Lord
Raham	compassion; a friend
Tirhakah	inquirer; examiner; dull observer
Secundus	second
Sihor	black; trouble (the river Nile)
Onesimus	profitable; useful
Rahab	large; extended (name of a woman)
Sihon	rooting out; conclusion
Sisera	that sees a horse or a swallow
Maarath	den; making empty; watching
Mejarkon	the waters of Jordan
Dalphon	the house of caves
Seth	put; who puts; fixed
Zeruiah	pain or tribulation of the Lord
Diana	luminous, perfect
Ami	mother; fear; people
Hareph	winter; reproach
Nekoda	painted; inconstant
Arphaxad	a healer; a releaser
Pelethites	judges; destroyers
Sallai	an exaltation; a basket
Tyrannus	a prince; one that reigns
Nineveh	handsome; agreeable
Beth-birei	the house of my Creator, the house of my health
Nebushasi-hahban	speech; prophecy; springing; flowing
Sherah	flesh; relationship
Ataroth	crowns
Havoth-jair	the villages that enlighten
Maath	wiping away; breaking; fearing; smiting
Zebulun	dwelling; habitation
Mesobaite	the Lord's standing-place; a little doe
Sheber	breaking; hope
Karkor	they rested
Immanuel	God with us
Berith	covenant
Sepharad	a book descending
Jeduthun	his law; giving praise
Rimmon	exalted; pomegranate
Ephrath	abundance; bearing fruit
Tirzah	benevolent; complaisant; pleasing
Kadesh-barnea	holiness of an inconstant son
Dan	judgment; he that judges
Zadok	just; justified
Laish	a lion
Massah	temptation
Jiphthael	God opening
Dalmatia	deceitful lamps; vain brightness
Nazareth	separated; crowned; sanctified
Zanoah	forgetfulness; desertion
Kishon	hard; sore
Alvah	his rising up; his highness
Jedidiah	beloved of the Lord
Mattithiah	same as Mattathias
Jezoar	clear; white
Cheran	anger
Ucal	power, prevalency
Tubal-cain	worldly possession; possessed of confusion
Aniam	a people; the strength or sorrow of people
Jahdiel	the unity, or sharpness, or revenge, of God
Kidron	obscure; making black or sad
Pasdammin	portion or diminishing of blood
Bashan	in the tooth, in ivory
Ishiah	it is the Lord
Nereus	same as Ner
Jeberechiah	speaking well of, or kneeling to, the Lord
Coz	a thorn
Ramah	same as Ram
Nergal	the great man; the hero
Tebeth	good, goodness (the tenth month of the Hebrews)
Malluch	reigning; counseling
Jemima	handsome as the day
Gaash	tempest; commotion
Ono	grief or strength or iniquity of him
Jeconiah	preparation, or stability, of the Lord
Jezrahiah	the Lord arises; brightness of the Lord
Anathema	separated; set apart
Elizabeth	the oath, or fullness, of God
Stephanas	crown; crowned
Ziha	brightness; whiteness; drought
Eliakim	resurrection of God
Ahasbai	trusting in me; a grown-up brother
Temani	the south; Africa; perfect
Gaza	strong; a goat
Zoar	little; small
Kareah	bald; ice
Zoan	motion
Reuben	who sees the son; the vision of the son
Askelon	weight; balance; fire of infamy
Sion	noise; tumult
Ahiezer	brother of assistance
Kir	a city; wall; meeting
Eliada	knowledge of God
Ummah	darkened; covered; his people
Machir	selling; knowing
Parshandatha	given by prayer
Candace	who possesses contrition
Bene-jaakan	sons of sorrow
Vashti	that drinks; thread
Maaz	wood; wooden
Ramath	raised; lofty
Hur	liberty; whiteness; hole
Abarim	passages; passengers
Beth-nimrah	house of rebellion
Kishi	hardness; his gravity; his offense
Tiphsah	passage; leap; step; the passover
Adiel	the witness of the Lord
Hilkiah	God is my portion
Igdaliah	the greatness of the Lord
Sisamai	house; blindness
Edom	red, earthy; of blood
Gimzo	that bulrush
Carmi	my vineyard; lamb of the waters
Tertius	third
Sheshach	bag of flax or linen
Helkai	same as Helek
Uzzah	strength; goat
Puah	mouth; corner; bush of hair
Anem	or Anen, an answer; their affliction
Aner	answer; song; affliction
Babel	confusion; mixture
Zibeon	iniquity that dwells
Higgaion	meditation; consideration
Paruah	flourishing; that flies away
Imri	speaking; exalting; bitter; a lamb
Sippai	threshold; silver cup
Nephusim	same as Nephishesim
Ijon	look; eye; fountain
Jerimoth	he that fears or rejects death
En-dor	fountain, eye of generation, or of habitation
Nahallal	praised; bright
Ahimaaz	a brother of the council
Phanuel	face or vision of God
Zechariah	same as Zachariah
Jachin	he that strengthens and makes steadfast
Dimonah	dunghill
Cuth	burning
Achbor	a rat; bruising
Shachia	protection of the Lord
Peniel	face or vision of God; that sees God
Zenas	living
Berothath	of a well
James	same as Jacob
Sidon	hunting; fishing; venison
Jasiel	the strength of God
Sinai	a bush; enmity
Kushaiah	same as Kishi
Nahath	rest; a leader
Zenan	coldness; target; weapon
Galeed	the heap of witness
Tappuah	apple; swelling
Shunem	their change; their sleep
Enos	mortal man; sick; despaired of; forgetful
Dedan	their breasts; friendship; a judge
Balak	who lays waste or destroys
Penuel	same as Peniel
Hannah	gracious; merciful; he that gives
Mishael	who is asked for or lent
Naharai	my nostrils; hot; anger
Ragau	friend; shepherd
Tryphosa	thrice shining
Lahairoi	who liveth and seeth me
Barsabas	son of return; son of rest
Aretas	agreeable, virtuous
Hasrah	wanting
Shittim	thorns
Thelasar	same as Telassar
Gederah	a wall
Belshazzar	master of the treasure
Jehalelel	praising God; clearness of God
Zair	little; afflicted; in tribulation
Ithmah	an orphan
Eph-lal	judging; praying
Ashtoreth	flocks; sheep; riches
Bozez	mud; bog
Ibneiah	the building of the Lord; the understanding of the Lord;
Peter	a rock or stone
Hilen	a window; grief
Zimran	song; singer; vine
Apelles	exclusion; separation
Mahavites	declaring a message; marrow
Claudius	lame
Hanun	gracious; merciful
Shamsherai	there a singer or conqueror
Emmor	an ass
Abel-shittim	mourning of thorns
Madai	a measure; judging; a garment
Zephaniah	the Lord is my secret
Gilead	the heap or mass of testimony
Philetus	amiable; beloved
Sephar	book; scribe; number
Ammah	my, or his, people
Shephuphan	serpent
Mishal	parables; governing
En-gannim	eye, or fountain, of protection or of gardens
Misham	their savior; taking away
Nehushtan	a trifling thing of brass
Tadmor	the palm-tree; bitterness
Kelaiah	voice of the Lord; gathering together
Socoh	tents; tabernacles
Kibzaim	congregation
Blastus	that buds or brings forth
Rabboni	my master
Anim	answerings; singings; afflicted
Zalaph	shadow; ringing; shaking
Abel-mizraim	the mourning of Egyptians
Menan	numbered; rewarded; prepared
Shemaiah	that hears or obeys the Lord
Hamoth	indignation
Cyrene	a wall; coldness; the floor
Perez	divided
Bezai	eggs
Terah	to breathe; scent; blow
Cushi	Ethiopians; blackness
Hoshea	savior; safety
Isaac	laughter
Mahanehdan	tents of judgment
Dibzahab	where much gold is
Parbar	a suburb
Pontius	marine; belonging to the sea
Lystra	that dissolves or disperses
Elisha	salvation of God
Sodi	my secret
Azaz	strong one
Cenchrea	millet; small pulse
Pharpar	that produces fruit
Jeheiel	God liveth
Bethesda	house of pity or mercy
Maher-shalal-hash-baz	making speed to the spoil; he hastens to the prey
Nahaliel	inheritance; valley of God
Idumea	red; earthy; bloody
Sophereth	scribe, numbering
Eshtemoa	the bosom of a woman
Sychar	end
Attalus	increased, nourished
Gaius	lord; an earthly man
Calneh	our consummation
Lazarus	assistance of God
Eran	follower
Hanani	my grace; my mercy
Jegar-sahadutha	heap of witness
Iturea	guarded; mountainous
Hanameel	the grace that comes from God; gift of God
Hophin	he that covers; my fist
Amraphel	one that speaks of secrets
Jeshimon	solitude; desolation
Hori	a prince; freeborn
Mesha	burden; salvation
Japho	fairness; comeliness
Shethar	putrefied; searching
Accad	a vessel; pitcher; spark
Padon	his redemption; ox-yoke
Alleluia	praise the Lord
Beth-el	the house of God
Jekamean	the people shall arise
Ararat	the curse of trembling
Hattipha	robbery
Sin	bush
Shaashgaz	he that presses the fleece; that shears the sheep
Dalmanutha	a bucket; a branch
En-mishpat	fountain of judgment
Gaddiel	goat of God; the Lord my happiness
Beth-haran	house of grace
Uzai	he
Eber	one that passes; anger
Peresh	horseman
Gezer	dividing, sentence
Hashub	esteemed; numbered
Hashum	silence; their hasting
Elim	the rams; the strong; stags
Nimrod	rebellion (but probably an unknown Assyrian word)
Elkeshai	hardiness or rigor of God
Jonathan	given of God
Ebed	a servant; laborer
Ephraim	fruitful; increasing
Eve	living; enlivening
Jushabhesed	dwelling-place; change of mercy
Ibleam	ancient people; people decreasing
Rogelim	a foot or footman
Megiddo	his precious fruit; declaring a message
Evi	unjust
Rhodes	same as Rhoda
Shaphan	rabbit; wild rat; their lip; their brink
Lachish	who walks, or exists, of himself
Bunni	building me
Macedonia	burning; adoration
Chenaniah	preparation, or disposition, or strength, of the Lord
Salamis	shaken; test; beaten
Jehaziel	same as Jahaziel
Adlai	my witness; my ornament
Zelophehad	the shade or tingling of fear
Jahazah	quarrel; dispute
Hadadezer	beauty of assistance
Jucal	mighty; perfect
Mithcah	sweetness; pleasantness
Vashni	the second; changed; a tooth
Aquila	an eagle
Elul	cry or outcry
Matri	rain; prison
Azazel	the scape-goat
Jashobeam	the people sitting; or captivity of the people
Elymas	a magician, a corrupter
Judea	same as Judah
Ashkenaz	a fire that spreads
Nebuzar-adan	fruits or prophecies of judgment
Tibni	straw; hay
Gibeon	hill; cup; thing lifted up
Ophni	wearisomeness; folding together
Hattil	howling for sin
Abraham	father of a great multitude
Rehabiah	breadth, or extent, of the Lord
Zorobabel	same as Zerubbabel
Resen	a bridle or bit
Jearim	a leap; woods
Eshek	violence, force
Kish	hard; difficult; straw; for age
Eder	a flock
Vophsi	fragrant; diminution
Adin	adorned; voluptuous; dainty
Leummim	countries; without water
Eden	pleasure; delight
Baal-peor	master of the opening
Eliezer	help, or court, of my God
Salathiel	asked or lent of God
Tiglath-pileser	that binds or takes away captivity
Magor-missabib	fear on every side
Hazar-addar	an imprisoned generation
Hermogenes	begotten of Mercury
Amaziah	the strength of the Lord
Achaicus	a native of Achaia; sorrowing; sad
Epaphroditus	agreeable; handsome
Hiddai	a praise; a cry
Elpaal	God's work
Rab-saris	chief of the eunuchs
Nephthalim	same as Naphtali
Abishag	ignorance of the father
Josiphiah	increase of the Lord; the Lord's finishing
Ish-tob	good man
Adrammelech	the cloak, glory, grandeur or power of the king
Hagabah	a grasshopper
Ziba	army; fight; strength
Aholibamah	my tabernacle is exalted
Azzan	their strength
Jaaziel	the strength of the Lord
Jaasiel	God's work
Nethaneel	same as Nathanael
Elpalet	same as Eliphalet
Ecclesiastes	a preacher
Agabus	a locust; the father's joy or feast
Ashur	who is happy; or walks; or looks
Rakkon	vain; void; mountain of enjoyment
Agrippa	one who causes great pain at his birth
Gaal	contempt; abomination
Beth-phelet	same as Beth-palet
Sela-hammah-lekoth	rock of divisions
Hachmoni	a wise man
Merom	eminences; elevations
Gittaim	a wine-press
Amana	integrity; truth; a nurse
Hushathite	man of haste, or of silence
Meroz	secret, leanness
Maroth	bitterness
Hashubah	estimation; thought
Dodanim	beloved
Hamonah	his multitude; his uproar
Shiphi	multitude
Apphia	productive; fruitful
Reuel	the shepherd or friend of God
Galal	a roll, a wheel
Bedaiah	the only Lord
Ethni	strong
Chios	open; opening
Gad	a band; a troop
Abi	my father
Jaasau	doing; my doing
Abigail	the father's joy
Cyrus	as miserable; as heir
Hananeel	grace, or gift, of God
Ziphron	falsehood of a song; rejoicing
Nathan-melech	the gift of the king, or of counsel
Ittah-kazin	hour, or time, of a prince
Zabad	dowry; endowed
Phylacteries	things to be especially observed
Zoheth	separation; amazing
Chimham	as they; like to them
Mamre	rebellious; bitter; set with trees
Dinah	judgment; who judges
Hashupha	spent; made base
Gether	the vale of trial or searching
Jezaniah	nourishment, or weapons, of the Lord
Ramatha	raised; lofty
Tekel	weight
Joshaviah	the seat, alteration, or captivity of the Lord
Beth-aram	house of height
Ur	fire, light, a valley
Eliel	God, my God
Ishmael	God that hears
Nahshon	same as Naashon
Mesopotamia	between two rivers
Nahor	hoarse; dry; hot
Uz	counsel; words
Lashah	to call; to anoint
Eliashib	the God of conversion
Jokdeam	crookedness, or burning, of the people
Timotheus	honor of God; valued of God
Onesiphorus	who brings profit
Elishah	it is God; the lamb of God: God that gives help
Madian	judgment; striving; covering; chiding
Mazzaroth	the twelve signs of the zodiac
Massa	a burden; prophecy
Eliahba	my God the Father
Lehabim	flames; inflamed; swords
Camon	his resurrection
Muppim	out of the mouth; covering
Joses	same as Jose
Eldad	favored of God; love of God
Micha	same as Micaiah
Jehoadah	passing over; testimony of the Lord
Imrah	a rebel; waxing bitter; changing
Ai	or Hai, mass; heap
Daberath	same as Dabareh
Abiram	high father; father of deceit
Hen	grace; quiet; rest
Elishama	God hearing
Shihor-libnah	blackness of Libnah
Maadai	pleasant; testifying
Casiphia	money; covetousness
Ar	awakening; uncovering
Bebai	void, empty
Josiah	the Lord burns; the fire of the Lord
Maon	house; place of sin
Cis	same as Kish
Dishon	fatness; ashes
Bilhah	who is old or confused
Shimi	that hears or obeys; my reputation; my fame
Bilhan	who is old or confused
Colhozeh	every prophet
Chemosh	handling; stroking; taking away
Suah	speaking; entreating; ditch
Keiiah	she that divides or cuts
Erastus	lovely, amiable
Ahira	brother of iniquity; brother of the shepherd
Halak	part
Barzillai	son of contempt; made of iron
Halah	a moist table
Sibboleth	ear of corn; stream or flood
Berothai	wells; a cypress
Jezneel	seed of God
Mysia	criminal; abominable
Hezekiah	strength of the Lord
Zurishaddai	the Almighty is my rock and strength
Nephishesim	diminished; torn in pieces
Shammuah	he that is heard; he that is obeyed
Diotrephes	nourished by Jupiter
Beth-palet	house of expulsion
Hamul	godly; merciful
Mehida	a riddle; sharpness of wit
Chilmad	teaching or learning
Lahmam	their bread; their war
Bukki	void
Barachel	that bows before God
Abdiel	servant of God
Hakupha	a commandment of the mouth
Kedemah	oriental; ancient; first
Cainan	possessor; purchaser
Shuppim	wearing them out; their shore
Esar-haddon	that closes the point; joy; cheerfulness
Hannathon	the gift of grace
Azareel	help of God
Reelaiah	shepherd or companion to the Lord
Adoraim	strength of the sea
Nehum	comforter; penitent
Damascus	a sack full of blood; the similitude of burning
Anna	gracious; one who gives
Zophar	rising early; crown
Avith	wicked, perverse
Zippor	bird; sparrow; crown; desert
Jehush	keeping counsel; fastened
Abital	the father of the dew; or of the shadow
Cyprus	fair; fairness
Egypt	that troubles or oppresses; anguish
Naarah	young person
Mattan	gifts; rains
Dodo	his uncle
Sigionoth	according to variable songs or tunes,
Addi	my witness; adorned; prey
Ethanim	strong; valiant
Zamzummims	projects of crimes; enormous crimes
Imlah	plentitude; circumcision
Pudens	shamefaced
Sivan	a bush or thorn
Haggai	feast; solemnity
Elon-beth-hanan	the house of grace or mercy
Linus	net
Joshua	a savior; a deliverer
Beth-shean	house of the tooth, or of ivory, or of sleep
Ahlai	beseeching; sorrowing; expecting
Ekron	barrenness; torn away
Letushim	hammermen; filemen
Jephunneh	he that beholds
Kenites	possession; purchase; lamentation
Shimrath	hearing; obedient
Demetrius	belonging to corn, or to Ceres
Izrahiah	the Lord ariseth; the clearness of the Lord
Baladan	one without judgment
Koa	hope; a congregation; a line; a rule
Iphedeiah	redemption of the Lord
Neballat	prophecy; budding
Mibzar	defending; forbidding; taking away
Helon	window; grief
Achor	trouble
Girgashite	who arrives from pilgrimage
Diblath	paste of dry figs
Hazael	that sees God
Thebez	muddy; eggs; fine linen or silk
Migdalel	tower of God
Bezaleel	in the shadow of God
Beth-marcaboth	house of bitterness wiped out
Eubulus	prudent; good counselor
Kishion	hardness; soreness
Elishaphat	my God judgeth
Abel-meholah	mourning of sickness
Sibmah	conversion; captivity
Jecoliah	perfection, or power, of the Lord
Zilthai	my shadow; my talk
Puteoli	sulphureous wells
Ashima	crime; offense
Kinah	same as Kenah
Guni	a garden; a covering
Areli	the light or vision of God
Makas	same as Mahaz
Zipporah	beauty; trumpet; mourning
Sheva	vanity; elevation; fame; tumult
Syntyche	that speaks or discourses
Amasai	strong
Cozbi	a liar; sliding away
Zelotes	zealous
Azriel	same as Asriel
Adonijah	the Lord is my master
Memphis	abode of the good
Maasiai	the defense, or strength, or trust of the Lord
Bartholomew	a son that suspends the waters
Hosanna	save I pray thee; keep; preserve
Mashal	a parable; governing
Shilom	tarrying; peace-maker
Pelatiah	let the Lord deliver; deliverance of the Lord
Kirjath	city; vocation; meeting
Shiloh	sent; (city)peace; abundance
Ephah	weary; tired
Akrabbim	scorpions
Oreb	a raven
Melita	affording honey
Gomorrah	rebellious people
Kirjath-sannah	city of enmity, or of a blackberry bush
Kadmonites	ancients; chiefs
Ebronah	passage over; being angry
Zina	shining; going back
Azaliah	near the Lord
Hosea	savior; safety
Asareel	the beatitude of God
Phallu	Pallu, admirable; hidden
Peleg	division
Mattathias	the gift of the Lord
Korah	baldness; ice; frost
Zelah	rib; side; halting
Zebulon	dwelling; habitation
Micah	poor; humble
Lebonah	same as Labana
Adnah	eternal rest
Reumah	lofty; sublime
Beer-lahai-roi	the well of him that liveth and seeth me
Bahurim	choice; warlike; valiant
Nicanor	a conqueror; victorious
Hotham	a seal
Madon	a chiding; a garment; his measure
Beth-meon	house of the dwelling-place
Judah	the praise of the Lord; confession
Dodai	beloved
Salim	foxes; fists; path
Pi-beseth	abode of the goddess Bahest or Bast
Benzoheth	son of separation
Lydda	a standing pool
Sennacherib	bramble of destruction
Hodaviah	same as Hodaiah
Philistines	those who dwell in villages
Horims	princes; being angry
Abdeel	a vapor; a cloud of God
Onan	same as On
Susanna	lily; rose; joy
Hachaliah	who waits for the Lord
Milcom	their king
Quartus	fourth
Patrobas	paternal; that pursues the steps of his father
Sheminith	eighth (an eight-stringed instrument)
Baali	my idol; lord over me
Jaakan	tribulation; labor
Ithran	remaining; searching out diligently
Hanoch	dedicated
Baale	same as Baalath
Ahab	uncle, or father's brother
Ahumai	a meadow of waters; a brother of waters
Tiberius	the son of Tiber
Tebaliah	baptism, or goodness, of the Lord
Judaea	same as Judah
Tanach	same as Taanach
Telem	their dew; their shadow
Ahaz	one that takes or possesses
Mene	who reckons or is counted
Jebusi	trodden under foot; mangers
Jabneh	he that understands; building
Carmel	circumcised lamb; harvest; full of ears of corn
Rekem	vain pictures; divers picture
Mecherath	selling; knowledge
Gittah-hepher	digging; a wine-press
Jered	ruling; coming down
Eker	barren, feeble
Abishalom	father of peace
Jerubbesheth	let the idol of confusion defend itself
Seir	hairy; goat; demon; tempest
Rebekah	fat; fattened; a quarrel appeased
Canaan	merchant; trader; or that humbles and subdues
Gath-rimmon	the high wine-press
Beth-ezal	a neighbor's house
Remaliah	the exaltation of the Lord
Neriah	light; lamp of the Lord
Shechem	part; portion; back early in the morning
Shaaraim	gates; valuation; hairs
Bithron	divisions
Sheshai	six; mercy; flax
Gazez	a passing over
Tryphon	masculine of Tryphena
Sheshan	lily; rose; joy; flax
Zemira	song; vine; palm
Elmodam	the God of measure, or of the garment
Migdalgad	tower compassed about
Dedanim	the descendants of Dedan
Tola	worm; grub; scarlet
Chidon	a dart
Ebed-melech	the king's servant
Naum	same as Nahum
Gamul	a recompense
Ishbosheth	a man of shame
Heth	trembling; fear
Kadesh	holiness
Ephphatha	be opened
Hamutal	the shadow of his heat
Ahinadab	a willing brother; brother of a vow
Maadiah	pleasantness; the testimony of the Lord
Meronothite	my singing; rejoicing; bearing rule
Milcah	queen
Patmos	mortal
Esh-ban	fire of the sun
Horam	their hill
Christ	anointed
Anammelech	answer; poverty of the king
Moseroth	erudition; discipline
Emims	fears; terrors; formidable; people
Attalia	that increases or sends
Harnepher	the anger of a bull; increasing heat
Jedaiah	the hand of the Lord; confessing the Lord
Jediel	the knowledge, or renewing, of God
Tharah	same as Terah
Zillah	shadow; the tingling of the ear
Zophah	viol; honeycomb
Alammelech	God is king
Neiel	commotion, or moving, of God
Jediael	the science, or knowledge, of God
Rachel	sheep
Hebrews	descendants of Heber
Rabbi	my master
Er	watchman
Maleleel	same as Mahaleleel
Meshach	that draws with force
Shibboleth	ear of corn; stream or flood
Elealeh	burnt-offering of God
Jehoash	fire of the Lord
Sodom	their secret; their cement
Bealiah	the god of an idol; in an assembly
Matthal	gift; he that gives
Matthan	same as Mattan
Abimelech	father of the king
Cedron	black; sad
Jehoshua	same as Joshua
Cyrenius	who governs
Bilgah	ancient countenance
Zared	strange descent
Shelomi	my peace; my happiness; my recompense
Elohi	God
Jahleel	waiting for, or beseeching, or hope in, God
Bunah	building; understanding
Maachathi	broken
Zaza	belonging to all
Bathsheba	the seventh daughter; the daughter of satiety
Mearah	den; cave; making empty
Jehaleleel	praising God; clearness of God
Jogli	passing over; turning back; rejoicing
Nathan	given; giving; rewarded
Asshurim	liers in want; beholders
Debir	an orator; a word
Jeezer	island of help
Eshcol	bunch of grapes
Jarib	fighting; chiding; multiplying; avenging
Zimzi	my field; my vine
Haruphite	slender; sharp
Shimrith	same as Shimri
Shisha	of marble; pleasant
Serug	branch; layer; twining
Zidon	hunting; fishing; venison
Achsah	adorned; bursting the veil
Jehoshaphat	the Lord is judge
Nezib	standing-place
Karnaim	horns
Omri	sheaf of corn
Hazaiah	seeing the Lord
Samuel	heard of God; asked of God
Adamah	red earth; of blood
India	praise; law
Mushi	he that touches, that withdraws or takes away
Og	a cake; bread baked in ashes
